Linear Regressor,SVR,Random Forest,Gradient Boosting
AVERAGE_AIR_PERM,AVERAGE_AIR_PERM,AVERAGE_AIR_PERM,AVERAGE_AIR_PERM
PRODCT_EFFECTIVE_AIR_PERM,PRODCT_EFFECTIVE_AIR_PERM,PRODCT_EFFECTIVE_AIR_PERM,PRODCT_EFFECTIVE_AIR_PERM
CONTAMINATION_TOTAL,CONTAMINATION_TOTAL,CONTAMINATION_TOTAL,CONTAMINATION_TOTAL
CONTAMINATION,CONTAMINATION,CONTAMINATION,CONTAMINATION
ASH_INSOLUBLE,ASH_INSOLUBLE,ASH_INSOLUBLE,ASH_INSOLUBLE
ASH_SOLUBLE,ASH_SOLUBLE,ASH_SOLUBLE,ASH_SOLUBLE
CONTAMINATION_ASH,CONTAMINATION_ASH,CONTAMINATION_ASH,CONTAMINATION_ASH
PRODCT_EFFECTIVE_THICKNESS,PRODCT_EFFECTIVE_THICKNESS,PRODCT_EFFECTIVE_THICKNESS,PRODCT_EFFECTIVE_THICKNESS
FELT_NUMBER,FELT_NUMBER,FELT_NUMBER,FELT_NUMBER
ELONGATION_NEW,ELONGATION_NEW,ELONGATION_NEW,ELONGATION_NEW
AVERAGE_THICKNESS,AVERAGE_THICKNESS,AVERAGE_THICKNESS,AVERAGE_THICKNESS
AVERAGE_WEIGHT,AVERAGE_WEIGHT,AVERAGE_WEIGHT,AVERAGE_WEIGHT
CONTAMINATION_RESIN,CONTAMINATION_RESIN,CONTAMINATION_RESIN,CONTAMINATION_RESIN
CONTAMINATION_PAPER_STOCK,CONTAMINATION_PAPER_STOCK,CONTAMINATION_PAPER_STOCK,CONTAMINATION_PAPER_STOCK
TENSILE_STRENGTH_CROSS_NEW,TENSILE_STRENGTH_CROSS_NEW,TENSILE_STRENGTH_CROSS_NEW,TENSILE_STRENGTH_CROSS_NEW
TENSILE_STRENGTH_RUNNING,TENSILE_STRENGTH_RUNNING,TENSILE_STRENGTH_RUNNING,TENSILE_STRENGTH_RUNNING
SEAM_STRENGTH_NEW,SEAM_STRENGTH_NEW,SEAM_STRENGTH_NEW,SEAM_STRENGTH_NEW
AVERAGE_WIDTH,AVERAGE_WIDTH,AVERAGE_WIDTH,AVERAGE_WIDTH
PRODCT_EFFECTIVE_M2_WEIGHT,PRODCT_EFFECTIVE_M2_WEIGHT,PRODCT_EFFECTIVE_M2_WEIGHT,PRODCT_EFFECTIVE_M2_WEIGHT
SD Vertriebsbeleg,SD Vertriebsbeleg,SD Vertriebsbeleg,SD Vertriebsbeleg
TENSILE_STRENGTH_NEW,TENSILE_STRENGTH_NEW,TENSILE_STRENGTH_NEW,TENSILE_STRENGTH_NEW
EA Z-Status,EA Z-Status,EA Z-Status,EA Z-Status
NA Trägergew.v.Nad.,NA Trägergew.v.Nad.,NA Trägergew.v.Nad.,NA Trägergew.v.Nad.
Auflage,Auflage,Auflage,Auflage
SD Debitor,SD Debitor,SD Debitor,SD Debitor
WEAR,WEAR,WEAR,WEAR
NA Nadelb. Komb. S3,NA Nadelb. Komb. S3,NA Nadelb. Komb. S3,NA Nadelb. Komb. S3
EA Pressdruck,EA Pressdruck,EA Pressdruck,EA Pressdruck
GG1 Ges. o. Leiste,GG1 Ges. o. Leiste,GG1 Ges. o. Leiste,GG1 Ges. o. Leiste
AT1 Werksversion,AT1 Werksversion,AT1 Werksversion,AT1 Werksversion
